Series Name,Series Code,Country Name,Country Code,1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Forest area (% of land area),AG.LND.FRST.ZS,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,..,..,..
Forest area (% of land area),AG.LND.FRST.ZS,Albania,ALB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,28.7883207223711,28.7171523936474,28.6459862924841,28.5748179637603,28.5036496350365,28.4324813063127,28.361312977589,28.2901468764257,28.2189785477019,28.1478102189781,28.0766418902543,28.1722621500057,28.2678824097571,28.3635026695084,28.4591251568203,28.5547454165716,28.5102187107949,28.4656942325787,28.421167526802,28.3766430485858,28.3321163428091,28.2970812720974,28.2620439738253,28.2270066755531,28.1919716048415,28.1569343065693,28.1218970082972,..,..,..
Forest area (% of land area),AG.LND.FRST.ZS,Algeria,DZA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.699908470278032,0.696213672009489,0.692518924993517,0.688824126724974,0.685129379709007,0.68143458144046,0.677739783171916,0.674045036155945,0.670350237887402,0.666655490871434,0.662960692602887,0.659349897307876,0.655739102012869,0.652128255465282,0.64851746017027,0.644906664875259,0.676984063925559,0.709061462975862,0.741138810773586,0.773216209823885,0.805293608874184,0.808484543059251,0.811675477244317,0.814866462681959,0.818057396867022,0.821248331052088,0.824439265237154,..,..,..
Forest area (% of land area),AG.LND.FRST.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,91.949996948242,91.7500019073485,91.599998474121,91.4500045776365,91.25,91.0999965667725,90.950002670288,90.7499980926515,90.600004196167,90.3999996185305,90.2499961853025,90.1000022888185,89.8999977111815,89.7500038146975,89.5499992370605,89.399995803833,89.2500019073485,89.049997329712,88.9000034332275,88.75,88.5499954223635,88.400001525879,88.199996948242,88.050003051758,87.8999996185305,87.7000045776365,87.5,..,..,..
Forest area (% of land area),AG.LND.FRST.ZS,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,..,..,..
Forest area (% of land area),AG.LND.FRST.ZS,Angola,AGO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,48.9099221945937,48.8098172926526,48.7097123907115,48.6096106220422,48.5095057201011,48.4094008181599,48.3092959162188,48.2091910142777,48.1090892456084,48.0089843436673,47.9088794417262,47.808774539785,47.7086696378439,47.6085678691746,47.5084629672335,47.4083580652924,47.3082531633512,47.2081482614101,47.1080464927408,47.0079415907997,46.9078366888586,46.8077317869175,46.7076268849763,46.6075251163071,46.5074202143659,46.4073153124248,46.3072104104837,..,..,..
Forest area (% of land area),AG.LND.FRST.ZS,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,23.4090913425793,23.3409101312811,23.2727267525414,23.2045455412432,23.136364329945,23.0681809512052,22.999999739907,22.9318185286089,22.8636373173107,22.7954539385709,22.7272727272727,22.6363637230613,22.5454547188499,22.4545457146385,22.363636710427,22.2727277062156,22.2727277062156,22.2727277062156,22.2727277062156,22.2727277062156,22.2727277062156,22.2727277062156,22.2727277062156,22.2727277062156,22.2727277062156,22.2727277062156,22.2727277062156,..,..,..
Forest area (% of land area),AG.LND.FRST.ZS,Argentina,ARG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12.7135335021504,12.6063599526253,12.4991864031001,12.3920142809379,12.2848407314128,12.1776671818876,12.0704936323625,11.9633207965188,11.8561472469936,11.74897441115,11.6418008616248,11.5194630077758,11.3971258676083,11.2747880137593,11.1524508735918,11.0301130197428,10.9139142540807,10.7977154884185,10.6815167227563,10.5653179570942,10.449119191432,10.3406667246747,10.2322149715989,10.1237625048416,10.0153107517658,9.90685828500853,9.79840581825125,..,..,..
Forest area (% of land area),AG.LND.FRST.ZS,Armenia,ARM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.7667720407446,11.7527221636811,11.7527223780652,11.7456970107652,11.7386727153857,11.7316473480857,11.7246219807857,11.7175976854063,11.7105723181062,11.7035480227268,11.6965226554268,11.6894972881268,11.6824729927473,11.6754476254473,11.6684233300678,11.6613979627678,11.6543725954678,11.6473483000884,11.6403229327883,11.6332986374089,11.6262732701089,11.6332986374089,11.6403229327883,11.6473483000884,11.6543725954678,11.6613979627678,11.6684233300678,..,..,..
Forest area (% of land area),AG.LND.FRST.ZS,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,..,..,..
